name,performance_range_km,performance_range_nm,performance_range_mi,performance_landing_distance_m,performance_landing_distance_ft,performance_takeoff_distance_m,performance_takeoff_distance_ft,performance_ceiling_m,performance_ceiling_ft
Airbus A300,7500.0,4050.0,4660.0,1540.0,5050.0,2380.0,7800.0,12200.0,40000.0
Airbus A310,9540.0,5150.0,5930.0,1490.0,4900.0,2290.0,7500.0,12500.0,41000.0
Airbus A319,6800.0,3672.0,4230.0,1450.0,4750.0,1950.0,6400.0,12500.0,41000.0
Airbus A320,6110.0,3300.0,3800.0,1540.0,5050.0,2100.0,6900.0,11900.0,39000.0
Airbus A321,5930.0,3200.0,3680.0,1540.0,5050.0,1710.0,5600.0,11900.0,39000.0
Airbus A330,11760.0,6350.0,7310.0,1730.0,5700.0,2770.0,9100.0,12500.0,41100.0
Airbus A340,13520.0,7300.0,8400.0,1830.0,6000.0,2770.0,9050.0,12500.0,41000.0
Airbus A350 XWB,15400.0,8316.0,9570.0,1220.0,4000.0,2440.0,8000.0,13100.0,43000.0
Airbus A380,14820.0,8000.0,9210.0,1520.0,5000.0,2750.0,9000.0,13100.0,43000.0
Boeing 737,5670.0,3060.0,3520.0,1370.0,4500.0,2320.0,7600.0,12500.0,41000.0
Boeing 747,13490.0,7285.0,8380.0,1910.0,6250.0,2820.0,9250.0,13700.0,45000.0
Boeing 757,7250.0,3915.0,4510.0,1400.0,4600.0,2070.0,6800.0,12800.0,42000.0
Boeing 767,11070.0,5975.0,6880.0,1800.0,5900.0,2410.0,7900.0,13100.0,43000.0
Boeing 777,14320.0,7730.0,8900.0,1800.0,5900.0,3000.0,9850.0,13100.0,43100.0
Boeing 787 Dreamliner,15190.0,8200.0,9440.0,910.0,3000.0,1520.0,5000.0,13100.0,43000.0
Aérospatiale/BAC Concorde,7220.0,3900.0,4490.0,2200.0,7200.0,3430.0,11300.0,18300.0,60000.0
McDonnell Douglas DC-10,,,,,,,,,
Convair 880,4580.0,2472.0,2840.0,1900.0,6250.0,2670.0,8750.0,12500.0,41000.0
Lockheed L-188 Electra,3520.0,1900.0,2190.0,1310.0,4300.0,1440.0,4700.0,8700.0,28400.0
Fokker 50 / 60,2060.0,1110.0,1280.0,1130.0,3700.0,1350.0,4450.0,7600.0,25000.0
McDonnell Douglas MD-80,3800.0,2050.0,2360.0,1590.0,5200.0,2050.0,6750.0,11300.0,37000.0
McDonnell Douglas MD-90,3790.0,2045.0,2350.0,1600.0,5250.0,2200.0,7200.0,12800.0,42000.0
Airbus A220,11480.0,6200.0,7130.0,1510.0,4950.0,1890.0,6200.0,12500.0,41000.0
Fokker 70 / 100,3110.0,1680.0,1930.0,1320.0,4350.0,1860.0,6100.0,10700.0,35000.0
McDonnell Douglas MD-11,13410.0,7240.0,8330.0,2120.0,6950.0,3140.0,10300.0,13100.0,43000.0
Airbus A318,5740.0,3100.0,3570.0,1230.0,4050.0,1780.0,5850.0,12500.0,41000.0
Bombardier CRJ-700,3710.0,2002.0,2300.0,1560.0,5100.0,1850.0,6050.0,12500.0,41000.0
Bombardier CRJ-900,2880.0,1553.0,1790.0,1620.0,5300.0,1940.0,6400.0,12500.0,41000.0
