name,info_thrust_lbf,info_thrust_kn,info_power_shp,info_power_kw,performance_fuel_burn_nm_gal,performance_fuel_burn_kml,performance_rate_of_climb_ft_min,performance_rate_of_climb_ms
Airbus A300,99040.0,441.0,,,,,3000.0,15.0
Airbus A310,62000.0,276.0,,,,,2500.0,13.0
Airbus A319,23500.0,105.0,,,0.54,0.26,3500.0,18.0
Airbus A320,27000.0,120.0,,,0.45,0.22,2500.0,13.0
Airbus A321,56200.0,250.0,,,0.45,0.22,12.0,0.0
Airbus A330,71100.0,316.0,,,0.26,0.13,,
Airbus A340,34000.0,151.0,,,0.19,0.09,5700.0,29.0
Airbus A350 XWB,74000.0,329.0,,,0.2,0.1,3000.0,15.0
Airbus A380,81500.0,363.0,,,0.1,0.05,1500.0,8.0
Boeing 737,27300.0,121.0,,,0.44,0.22,,
Boeing 747,63300.0,282.0,,,0.13,0.06,1500.0,8.0
Boeing 757,42600.0,189.0,,,,,3500.0,18.0
Boeing 767,60600.0,270.0,,,0.25,0.12,3000.0,15.0
Boeing 777,115300.0,513.0,,,0.16,0.08,3000.0,15.0
Boeing 787 Dreamliner,64000.0,285.0,,,0.24,0.12,,
Aérospatiale/BAC Concorde,38050.0,169.0,,,0.12,0.06,5000.0,25.0
McDonnell Douglas DC-10,,,,,,,,
Convair 880,11650.0,52.0,,,,,3000.0,15.0
Lockheed L-188 Electra,,,3750.0,2796.0,,,1970.0,10.0
Fokker 50 / 60,,,2500.0,1864.0,0.9,0.44,1500.0,8.0
McDonnell Douglas MD-80,20000.0,89.0,,,,,2500.0,13.0
McDonnell Douglas MD-90,25000.0,111.0,,,0.37,0.18,3200.0,16.0
Airbus A220,23300.0,104.0,,,,,,
Fokker 70 / 100,15100.0,67.0,,,0.48,0.23,3000.0,15.0
McDonnell Douglas MD-11,61500.0,274.0,,,0.19,0.09,2000.0,10.0
Airbus A318,34000.0,151.0,,,0.59,0.29,3000.0,15.0
Bombardier CRJ-700,12670.0,56.0,,,0.68,0.33,3500.0,18.0
Bombardier CRJ-900,13123.0,58.0,,,0.63,0.31,2000.0,10.0
Bombardier CRJ-1000,14510.0,65.0,,,0.67,0.33,2000.0,10.0
Convair 990,16050.0,71.0,,,,,3250.0,17.0
Dornier Do-328,6050.0,27.0,,,1.91,0.93,3690.0,19.0
Douglas DC-8,19000.0,85.0,,,0.08,0.04,,
Embraer EMB-120 Brasilia,,,,1342.0,0.94,0.46,12.0,0.0
Embraer ERJ-145,8169.0,36.0,,,0.92,0.45,2000.0,10.0
Embraer ERJ-170,14200.0,63.0,,,0.68,0.33,3400.0,17.0
Embraer ERJ-190,18500.0,82.0,,,0.54,0.26,3400.0,17.0
Saab 340,,,1870.0,1394.0,1.1,0.54,2047.0,10.0
Saab 2000,,,4152.0,3096.0,1.1,0.54,2250.0,11.0
BAC Vickers VC-10,22500.0,100.0,,,,,2300.0,12.0
Hawker Siddeley HS-121 Trident,11960.0,53.0,,,0.43,0.21,3000.0,15.0
Vickers Vanguard,,,5545.0,4135.0,,,1280.0,7.0
Boeing 717,21000.0,93.0,,,0.47,0.23,3000.0,15.0
Short 330,,,1198.0,893.0,,,1180.0,6.0
COMAC ARJ21,17057.0,76.0,,,,,,
COMAC C919,31000.0,138.0,,,,,,
Canadair CL-44,,,5730.0,4273.0,,,,
Bristol 175 Britannia,,,4450.0,3318.0,,,2220.0,11.0
Lockheed L-1011 TriStar,42000.0,187.0,,,,,2800.0,14.0
De Havilland Canada DHC-8 Dash 8,,,,3781.0,0.8,0.39,12.0,0.0
British Aerospace BAe 146 / Avro RJ,6990.0,31.0,,,0.33,0.16,,
McDonnell Douglas DC-9,15000.0,67.0,,,,,2000.0,10.0
Bombardier BD-700 Global,14750.0,66.0,,,0.92,0.45,3350.0,17.0
ATR 42 / 72,,,2475.0,1846.0,,,,
British Aerospace BAe ATP,,,2653.0,1978.0,,,1000.0,5.0
