name,weight_max_takeoff_weight_kg,weight_max_takeoff_weight_lb,weight_max_landing_weight_kg,weight_max_landing_weight_lb,weight_max_payload_kg,weight_max_payload_lb,weight_fuel_capacity_gal,weight_fuel_capacity_l,weight_fuel_capacity_kg
Airbus A300,165000.0,364000.0,138000.0,304000.0,55000.0,120500.0,18000.0,68100.0,54500.0
Airbus A310,164000.0,361500.0,124000.0,273500.0,34800.0,76500.0,16150.0,61100.0,48900.0
Airbus A319,75500.0,166500.0,62500.0,138000.0,14000.0,30900.0,6300.0,23900.0,19100.0
Airbus A320,78000.0,172000.0,66000.0,145500.0,20000.0,44000.0,7850.0,29700.0,23700.0
Airbus A321,93500.0,206000.0,,,21700.0,47900.0,7850.0,29700.0,23700.0
Airbus A330,242000.0,534000.0,,,45900.0,101000.0,36750.0,139100.0,111300.0
Airbus A340,251000.0,553000.0,174000.0,384000.0,39500.0,87000.0,39050.0,147900.0,118300.0
Airbus A350 XWB,259000.0,571000.0,,,35700.0,78500.0,39650.0,150000.0,120000.0
Airbus A380,575000.0,1268000.0,395000.0,871000.0,87000.0,192000.0,85500.0,323500.0,258800.0
Boeing 737,384000.0,847000.0,,,21300.0,47000.0,6900.0,26000.0,20800.0
Boeing 747,397000.0,875000.0,295500.0,652000.0,71500.0,157500.0,57300.0,216800.0,173500.0
Boeing 757,100000.0,220000.0,90000.0,198000.0,25900.0,57000.0,11300.0,42700.0,34100.0
Boeing 767,159000.0,350000.0,136000.0,300000.0,41600.0,91500.0,16700.0,63200.0,50600.0
Boeing 777,351500.0,775000.0,261000.0,575000.0,70000.0,154000.0,47900.0,181300.0,145000.0
Boeing 787 Dreamliner,228000.0,502000.0,,,43300.0,95500.0,33550.0,126900.0,101500.0
Aérospatiale/BAC Concorde,185000.0,408000.0,,,11000.0,24300.0,31500.0,119200.0,95300.0
McDonnell Douglas DC-10,,,,,,,,,
Convair 880,83500.0,184500.0,62000.0,136500.0,30700.0,67500.0,10600.0,40100.0,32100.0
Lockheed L-188 Electra,51500.0,113000.0,44500.0,98000.0,15300.0,33700.0,5500.0,20900.0,16700.0
Fokker 50 / 60,20800.0,45900.0,20000.0,44200.0,5500.0,12100.0,1360.0,5100.0,4100.0
McDonnell Douglas MD-80,68000.0,149500.0,58000.0,128000.0,19700.0,43400.0,5850.0,22100.0,17700.0
McDonnell Douglas MD-90,71000.0,156000.0,64500.0,142000.0,19000.0,41800.0,6400.0,24200.0,19400.0
Airbus A220,70000.0,154000.0,,,18700.0,41300.0,5800.0,21900.0,17500.0
Fokker 70 / 100,45800.0,101000.0,39900.0,88000.0,12000.0,26400.0,3550.0,13400.0,10700.0
McDonnell Douglas MD-11,286000.0,630000.0,207500.0,458000.0,66500.0,146500.0,41600.0,157500.0,126000.0
Airbus A318,68000.0,150000.0,57500.0,127000.0,14100.0,31000.0,6400.0,24200.0,19400.0
Bombardier CRJ-700,34900.0,77000.0,,,9050.0,20000.0,2900.0,11000.0,8800.0
Bombardier CRJ-900,38300.0,84500.0,,,10600.0,23300.0,2900.0,11000.0,8800.0
Bombardier CRJ-1000,41600.0,92000.0,37000.0,81500.0,12200.0,26800.0,2900.0,11000.0,8800.0
Convair 990,115000.0,253000.0,91500.0,202000.0,12000.0,26400.0,15700.0,59300.0,47500.0
Dornier Do-328,15200.0,33500.0,14100.0,31100.0,3400.0,7500.0,1200.0,4500.0,3600.0
Douglas DC-8,161000.0,355000.0,,,15600.0,34400.0,23750.0,89900.0,71900.0
Embraer EMB-120 Brasilia,58000.0,128000.0,,,3300.0,7300.0,860.0,3200.0,2600.0
Embraer ERJ-145,22000.0,48500.0,19300.0,42500.0,5800.0,12800.0,1690.0,6400.0,5100.0
Embraer ERJ-170,38600.0,85000.0,33300.0,73500.0,9750.0,21500.0,3050.0,11600.0,9300.0
Embraer ERJ-190,244500.0,539000.0,,,13100.0,28800.0,4250.0,16200.0,12900.0
Saab 340,13200.0,29000.0,12900.0,28500.0,3400.0,7500.0,850.0,3200.0,2600.0
Saab 2000,23000.0,50500.0,22000.0,48500.0,5500.0,12100.0,1400.0,5300.0,4200.0
BAC Vickers VC-10,141500.0,312000.0,98000.0,216000.0,18100.0,39800.0,19350.0,73300.0,58600.0
Hawker Siddeley HS-121 Trident,68000.0,150000.0,,,14700.0,32400.0,6550.0,24700.0,19800.0
Vickers Vanguard,64000.0,141000.0,56000.0,124000.0,14500.0,32000.0,5050.0,19100.0,15300.0
Boeing 717,55000.0,121000.0,46300.0,102000.0,14500.0,32000.0,4400.0,16700.0,13300.0
Short 330,10400.0,22900.0,10300.0,22600.0,3200.0,7100.0,670.0,2500.0,2000.0
COMAC ARJ21,43500.0,96000.0,37900.0,83500.0,8950.0,19700.0,3500.0,13200.0,10600.0
COMAC C919,82000.0,181000.0,,,20400.0,45000.0,7200.0,27200.0,21800.0
Canadair CL-44,95000.0,209500.0,,,30000.0,66000.0,9800.0,37000.0,29600.0
Bristol 175 Britannia,84000.0,185000.0,,,28000.0,61500.0,8050.0,30500.0,24400.0
Lockheed L-1011 TriStar,211000.0,465000.0,166000.0,366000.0,33700.0,74000.0,26500.0,100300.0,80300.0
De Havilland Canada DHC-8 Dash 8,142000.0,313500.0,,,8650.0,19100.0,1700.0,6400.0,5100.0
British Aerospace BAe 146 / Avro RJ,42200.0,93000.0,,,11800.0,26100.0,3400.0,12900.0,10300.0
McDonnell Douglas DC-9,49000.0,108000.0,44900.0,99000.0,13700.0,30100.0,3700.0,13900.0,11100.0
Bombardier BD-700 Global,44500.0,98000.0,35700.0,78500.0,2200.0,4800.0,6700.0,25400.0,20300.0
ATR 42 / 72,22800.0,50500.0,,,7350.0,16200.0,6400.0,24200.0,19400.0
British Aerospace BAe ATP,23700.0,52000.0,23100.0,51000.0,8000.0,17600.0,1680.0,6400.0,5100.0
