name,size_baggage_volume_ft3,size_baggage_volume_m3,size_cabin_height_m,size_cabin_height_ft,size_cabin_length_m,size_cabin_length_ft,size_cabin_width_m,size_cabin_width_ft,size_exterior_length_m,size_exterior_length_ft,size_fuselage_diameter_m,size_fuselage_diameter_ft,size_tail_height_m,size_tail_height_ft,size_wing_span_m,size_wing_span_ft
Airbus A300,,,,,40.7,133.0,5.28,17.0,54.1,177.0,5.64,18.0,,,44.84,147.0
Airbus A310,3962.0,112.2,2.33,7.0,33.24,109.0,5.28,17.0,46.66,153.0,5.6,18.0,15.87,52.0,43.9,144.0
Airbus A319,976.0,27.6,2.22,7.0,23.78,78.0,3.7,12.0,33.84,111.0,3.96,13.0,11.76,38.0,34.1,111.0
Airbus A320,1321.0,37.4,2.22,7.0,27.5,90.0,3.7,12.0,37.57,123.0,3.95,13.0,12.08,39.0,35.8,117.0
Airbus A321,1828.0,51.8,2.22,7.0,34.44,113.0,3.7,12.0,44.51,146.0,3.96,13.0,,,34.1,111.0
Airbus A330,5594.0,158.4,2.54,8.0,50.35,165.0,5.28,17.0,63.6,208.0,5.64,18.0,,,60.3,197.0
Airbus A340,8122.0,230.0,2.54,8.0,50.35,165.0,5.28,17.0,63.6,208.0,5.64,18.0,16.99,55.0,60.3,197.0
Airbus A350 XWB,4061.0,115.0,2.2,7.0,45.5,149.0,5.61,18.0,60.6,198.0,5.96,19.0,17.1,56.0,64.75,212.0
Airbus A380,6710.0,190.0,3.0,9.0,50.68,166.0,6.58,21.0,72.73,238.0,7.14,23.0,24.27,79.0,79.81,261.0
Boeing 737,1593.0,45.1,2.2,7.0,29.97,98.0,3.54,11.0,39.5,129.0,3.76,12.0,,,34.31,112.0
Boeing 747,5650.0,160.0,2.54,8.0,57.0,187.0,6.13,20.0,70.66,231.0,6.49,21.0,19.41,63.0,64.9,212.0
Boeing 757,1660.0,47.0,2.1,6.0,38.3,125.0,3.5,11.0,47.3,155.0,3.8,12.0,13.6,44.0,38.0,124.0
Boeing 767,4029.0,114.1,2.87,9.0,40.36,132.0,4.72,15.0,54.94,180.0,5.03,16.0,16.03,52.0,47.57,156.0
Boeing 777,7550.0,213.8,2.2,7.0,59.24,194.0,5.86,19.0,73.86,242.0,6.19,20.0,18.85,61.0,64.8,212.0
Boeing 787 Dreamliner,4828.0,136.7,2.5,8.0,51.0,167.0,5.49,18.0,57.0,187.0,5.75,18.0,,,60.0,196.0
Aérospatiale/BAC Concorde,237.0,6.7,1.96,6.0,39.32,129.0,2.63,8.0,61.66,202.0,2.87,9.0,12.2,40.0,25.6,84.0
McDonnell Douglas DC-10,,,,,,,,,,,,,,,,
Convair 880,863.0,24.4,1.8,5.0,26.0,85.0,3.27,10.0,39.42,129.0,3.5,11.0,11.06,36.0,36.58,120.0
Lockheed L-188 Electra,530.0,15.0,1.93,6.0,20.02,65.0,2.74,9.0,31.85,104.0,3.2,10.0,10.01,32.0,30.18,99.0
Fokker 50 / 60,590.0,16.7,1.96,6.0,15.63,51.0,2.5,8.0,25.25,82.0,2.7,8.0,8.32,27.0,29.0,95.0
McDonnell Douglas MD-80,1254.0,35.5,2.06,6.0,30.78,101.0,3.14,10.0,45.01,147.0,3.4,11.0,9.02,29.0,32.82,107.0
McDonnell Douglas MD-90,1300.0,36.8,2.0,6.0,32.23,105.0,3.1,10.0,46.5,152.0,3.35,11.0,9.33,30.0,32.87,107.0
Airbus A220,1116.0,31.6,2.11,6.0,27.5,90.0,3.28,10.0,38.7,127.0,3.7,12.0,,,35.1,115.0
Fokker 70 / 100,848.0,24.0,2.01,6.0,20.8,68.0,3.1,10.0,35.53,116.0,3.3,10.0,8.5,27.0,28.08,92.0
McDonnell Douglas MD-11,5297.0,150.0,2.41,7.0,46.51,152.0,5.71,18.0,61.62,202.0,6.0,19.0,17.65,57.0,51.97,170.0
Airbus A318,749.0,21.2,2.24,7.0,21.38,70.0,3.7,12.0,31.45,103.0,3.95,13.0,12.56,41.0,34.1,111.0
Bombardier CRJ-700,813.0,23.0,1.89,6.0,17.28,56.0,2.13,7.0,32.51,106.0,2.69,8.0,,,23.24,76.0
Bombardier CRJ-900,889.0,25.2,1.89,6.0,21.16,69.0,2.57,8.0,36.4,119.0,2.69,8.0,,,24.85,81.0
Bombardier CRJ-1000,953.0,27.0,1.89,6.0,24.11,79.0,2.55,8.0,39.13,128.0,2.69,8.0,7.5,24.0,26.18,85.0
Convair 990,,,,,,,,,42.6,139.0,3.35,11.0,12.04,39.0,36.6,120.0
Dornier Do-328,226.0,6.4,1.9,6.0,10.32,33.0,2.2,7.0,21.28,69.0,2.28,7.0,7.05,23.0,20.98,68.0
Douglas DC-8,2500.0,70.8,2.1,6.0,44.19,145.0,3.22,10.0,57.1,187.0,3.71,12.0,,,45.24,148.0
Embraer EMB-120 Brasilia,222.0,6.3,1.76,5.0,9.38,30.0,2.1,6.0,20.0,65.0,2.28,7.0,,,19.78,64.0
Embraer ERJ-145,325.0,9.2,1.82,6.0,16.49,54.0,2.1,6.0,29.87,98.0,2.28,7.0,6.75,22.0,20.04,65.0
Embraer ERJ-170,508.0,14.4,2.0,6.0,19.43,63.0,2.74,9.0,29.9,98.0,3.01,9.0,9.85,32.0,26.0,85.0
Embraer ERJ-190,748.0,21.2,2.0,6.0,25.76,84.0,2.74,9.0,36.24,118.0,3.01,9.0,,,28.72,94.0
Saab 340,318.0,9.0,1.8,5.0,10.4,34.0,2.2,7.0,19.73,64.0,2.31,7.0,6.97,22.0,21.44,70.0
Saab 2000,424.0,12.0,2.0,6.0,16.69,54.0,2.2,7.0,27.28,89.0,2.31,7.0,7.73,25.0,24.76,81.0
BAC Vickers VC-10,1490.0,42.2,2.26,7.0,26.06,85.0,3.5,11.0,48.66,159.0,3.76,12.0,12.0,39.0,44.55,146.0
Hawker Siddeley HS-121 Trident,,,2.0,6.0,9.14,30.0,3.4,11.0,40.0,131.0,3.6,11.0,8.6,28.0,29.9,98.0
Vickers Vanguard,,,,,,,,,37.45,122.0,,,10.64,34.0,35.97,118.0
Boeing 717,731.0,20.7,2.03,6.0,23.44,76.0,3.14,10.0,37.8,124.0,3.37,11.0,8.92,29.0,28.47,93.0
Short 330,1261.0,35.7,1.98,6.0,9.09,29.0,1.93,6.0,17.69,58.0,2.2,7.0,4.95,16.0,22.76,74.0
COMAC ARJ21,711.0,20.1,2.03,6.0,19.5,64.0,3.14,10.0,33.46,109.0,3.2,10.0,8.44,27.0,27.28,89.0
COMAC C919,,,2.25,7.0,,,3.9,12.0,38.9,127.0,3.95,13.0,11.95,39.0,35.81,117.0
Canadair CL-44,999.0,28.3,2.05,6.0,30.0,98.0,3.35,11.0,41.7,136.0,3.7,12.0,11.18,36.0,43.37,142.0
Bristol 175 Britannia,,,,,,,,,37.87,124.0,3.7,12.0,11.43,37.0,43.36,142.0
Lockheed L-1011 TriStar,3433.0,97.2,2.7,8.0,33.0,108.0,5.77,18.0,54.17,177.0,5.97,19.0,16.87,55.0,47.35,155.0
De Havilland Canada DHC-8 Dash 8,501.0,14.2,1.95,6.0,18.8,61.0,2.51,8.0,32.84,107.0,2.69,8.0,,,28.42,93.0
British Aerospace BAe 146 / Avro RJ,665.0,18.8,2.02,6.0,17.81,58.0,3.42,11.0,28.55,93.0,3.56,11.0,8.61,28.0,26.34,86.0
McDonnell Douglas DC-9,893.0,25.3,2.05,6.0,22.79,74.0,3.12,10.0,36.36,119.0,3.35,11.0,8.5,27.0,28.44,93.0
Bombardier BD-700 Global,195.0,5.5,1.91,6.0,14.74,48.0,2.49,8.0,30.3,99.0,2.68,8.0,7.8,25.0,29.0,95.0
ATR 42 / 72,25.0,0.7,,,,,2.57,8.0,27.2,89.0,7.6,24.0,,,27.0,88.0
British Aerospace BAe ATP,,,1.92,6.0,19.2,63.0,2.48,8.0,26.0,85.0,2.95,9.0,7.59,24.0,30.63,100.0
