airline_name,aircraft_type,in_service,parked,total_current,future,historic,total_all_time,avg_age_numeric
Qatar Airways,Airbus A300,0,0,0,0,10,10,
Qatar Airways,Airbus A310,0,0,0,0,2,2,
Qatar Airways,Airbus A319,0,0,0,0,3,3,
Qatar Airways,Airbus A320,27,0,27,0,18,45,13.6
Qatar Airways,Airbus A321,6,0,6,0,12,18,0.4
Qatar Airways,Airbus A330,13,2,15,1,30,46,17.0
Qatar Airways,Airbus A340,0,0,0,0,4,4,
Qatar Airways,Airbus A350 XWB,60,2,62,2,7,71,7.3
Qatar Airways,Airbus A380,7,1,8,0,2,10,10.2
Qatar Airways,Boeing 737,0,0,0,0,10,10,
Qatar Airways,Boeing 747,0,0,0,0,5,5,
Qatar Airways,Boeing 757,0,0,0,0,1,1,
Qatar Airways,Boeing 767,0,0,0,0,1,1,
Qatar Airways,Boeing 777,92,1,93,10,2,105,11.6
Qatar Airways,Boeing 787 Dreamliner,57,1,58,4,0,62,8.1
Singapore Airlines,Airbus A300,0,0,0,0,8,8,
Singapore Airlines,Airbus A310,0,0,0,0,23,23,
Singapore Airlines,Airbus A330,0,0,0,0,34,34,
Singapore Airlines,Airbus A340,0,0,0,0,22,22,
Singapore Airlines,Airbus A350 XWB,63,2,65,1,0,66,6.9
Singapore Airlines,Airbus A380,10,2,12,0,12,24,12.1
Singapore Airlines,Aérospatiale/BAC Concorde,0,0,0,0,1,1,
Singapore Airlines,Boeing 737,21,0,21,1,19,41,5.2
Singapore Airlines,Boeing 747,6,1,7,0,87,94,22.3
Singapore Airlines,Boeing 757,0,0,0,0,4,4,
Singapore Airlines,Boeing 777,25,2,27,10,63,100,13.4
Singapore Airlines,Boeing 787 Dreamliner,27,1,28,0,0,28,5.2
Singapore Airlines,McDonnell Douglas DC-10,0,0,0,0,8,8,
Cathay Pacific Airways,Airbus A320,0,0,0,0,3,3,
Cathay Pacific Airways,Airbus A321,16,0,16,2,5,23,3.3
Cathay Pacific Airways,Airbus A330,42,1,43,0,17,60,17.5
Cathay Pacific Airways,Airbus A340,0,0,0,0,25,25,
Cathay Pacific Airways,Airbus A350 XWB,46,2,48,0,0,48,7.4
Cathay Pacific Airways,Boeing 747,19,1,20,0,64,84,14.4
