airline_name,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book
Delta Air Lines,45216239616.0,62034247680.0,9.03786,8.308002,2.156698
Air Canada,5983297536.0,12000902144.0,10.860215,8.169439,2.2964985
Lufthansa,10902071296.0,16127003648.0,6.6897054,7.04725,0.95980585
Turkish Airlines,423597178880.0,434963644416.0,3.5484056,4.2800612,20.879904
Finnair,722501120.0,1451216000.0,39.2,7.4745765,1.13477
Air France,3385664512.0,16204234752.0,3.9661539,2.4727166,-3.4437618
KLM Royal Dutch Airlines,3385664512.0,16204234752.0,3.9661539,2.4727166,-3.4437618
British Airways,19999825920.0,25589735424.0,7.8232145,6.6203933,393.21497
Iberia,19999825920.0,25589735424.0,7.8232145,6.6203933,393.21497
Vueling,19999825920.0,25589735424.0,7.8232145,6.6203933,393.21497
Aegean Airlines,1246648064.0,2142793856.0,8.069365,8.268918,2.24654
Qantas Airways,16115571712.0,21482199040.0,10.240385,8.325645,20.679611
Air New Zealand,1886114048.0,3293439488.0,14.375,15.548945,0.97789115
ANA All Nippon Airways,1546340532224.0,1522013569024.0,11.804088,11.924254,1.0845358
Japan Airlines,1367297884160.0,1346971762688.0,11.308464,12.750843,1.1229053
Korean Air,10692143874048.0,25193554640896.0,,8.283262,
Singapore Airlines,22404433920.0,24739270656.0,10.098592,21.689808,1.442656
Cathay Pacific Airways,87253991424.0,142379499520.0,9.609929,10.834973,1.6891049
China Southern Airlines,111624880128.0,334988509184.0,,43.49589,2.6629527
AirAsia,2700423680.0,2348434944.0,,13.355409,-0.4890865
IndiGo,1911838998528.0,2127164866560.0,59.62262,24.165121,22.1392
China Airlines,128327000064.0,185794478080.0,8.683127,10.05298,1.3608514
EVA Air,204946866176.0,251808874496.0,7.955975,9.169524,1.5562847
STARLUX Airlines,69501779968.0,136919015424.0,462.0,,2.1494372
LATAM Airlines,14338173698048.0,14344103395328.0,11.613953,26.28421,12484.999
Garuda Indonesia,7684385931264.0,7779838328832.0,2.2819886,,-5249.9995
Air Astana,,,,20.42424,
