airline_name,ticker,period_end,cost_of_revenue,ebitda,net_income,operating_expense,operating_income,total_revenue
ANA All Nippon Airways,9202.T,2022-03-31,1049414000000.0,9590000000.0,-143628000000.0,144037000000.0,-173127000000.0,1020324000000.0
ANA All Nippon Airways,9202.T,2023-03-31,1403567000000.0,289572000000.0,89477000000.0,183887000000.0,120030000000.0,1707484000000.0
ANA All Nippon Airways,9202.T,2024-03-31,1642263000000.0,372593000000.0,157097000000.0,205754000000.0,207911000000.0,2055928000000.0
ANA All Nippon Airways,9202.T,2025-03-31,1843542000000.0,370585000000.0,153027000000.0,221675000000.0,196639000000.0,2261856000000.0
Aegean Airlines,AEGN.AT,2021-12-31,749785520.0,171265400.0,4905160.0,-183666380.0,30055920.0,596175060.0
Aegean Airlines,AEGN.AT,2022-12-31,1233507430.0,311315950.0,108004440.0,-172328600.0,147258000.0,1208436830.0
Aegean Airlines,AEGN.AT,2023-12-31,1476721550.0,434604370.0,169967500.0,-187136180.0,246826900.0,1536412270.0
Aegean Airlines,AEGN.AT,2024-12-31,1577471040.0,417200390.0,129941360.0,-203185050.0,227130390.0,1601416380.0
Air Astana,AIRA.IL,2021-12-31,594731000.0,212566000.0,36159000.0,64821000.0,89812000.0,749364000.0
Air Astana,AIRA.IL,2022-12-31,800339000.0,275064000.0,78414000.0,82934000.0,136971000.0,1020244000.0
Air Astana,AIRA.IL,2023-12-31,937982000.0,298458000.0,68705000.0,100427000.0,127706000.0,1166115000.0
Air Astana,AIRA.IL,2024-12-31,1067773000.0,320248000.0,52776000.0,111295000.0,93279000.0,1272347000.0
Air Canada,AC.TO,2022-12-31,13761000000.0,1012000000.0,-1700000000.0,2982000000.0,-187000000.0,16556000000.0
Air Canada,AC.TO,2023-12-31,15683000000.0,4845000000.0,2276000000.0,3871000000.0,2279000000.0,21833000000.0
Air Canada,AC.TO,2024-12-31,16800000000.0,3045000000.0,1720000000.0,4192000000.0,1263000000.0,22255000000.0
Air Canada,AC.TO,2025-12-31,17086000000.0,3407000000.0,644000000.0,4368000000.0,918000000.0,22372000000.0
Air France,AF.PA,2021-12-31,12766000000.0,-379000000.0,-3292000000.0,3190000000.0,-1641000000.0,14315000000.0
Air France,AF.PA,2022-12-31,21024000000.0,3723000000.0,728000000.0,4335000000.0,1034000000.0,26393000000.0
Air France,AF.PA,2023-12-31,23021000000.0,4620000000.0,934000000.0,5368000000.0,1630000000.0,30019000000.0
Air France,AF.PA,2024-12-31,24253000000.0,4261000000.0,317000000.0,5641000000.0,1565000000.0,31459000000.0
Air New Zealand,AIR.NZ,2022-06-30,560000000.0,-48000000.0,-591000000.0,2843000000.0,-669000000.0,2734000000.0
Air New Zealand,AIR.NZ,2023-06-30,1499000000.0,1433000000.0,412000000.0,4244000000.0,587000000.0,6330000000.0
Air New Zealand,AIR.NZ,2024-06-30,1692000000.0,1124000000.0,146000000.0,4832000000.0,228000000.0,6752000000.0
Air New Zealand,AIR.NZ,2025-06-30,1484000000.0,1065000000.0,126000000.0,5097000000.0,174000000.0,6755000000.0
AirAsia,5099.KL,2021-12-31,3419010000.0,-1146511000.0,-2991075000.0,1354048000.0,-3090162000.0,1682896000.0
AirAsia,5099.KL,2022-12-31,6352859000.0,-1545928000.0,-3238029000.0,2096682000.0,-2012473000.0,6437068000.0
AirAsia,5099.KL,2023-12-31,854010000.0,-734249000.0,301327000.0,1129609000.0,-693528000.0,1290091000.0
AirAsia,5099.KL,2024-12-31,911611000.0,-755798000.0,-501246000.0,1510447000.0,-712376000.0,1709682000.0
British Airways,IAG.L,2021-12-31,9480000000.0,-823000000.0,-2933000000.0,1754000000.0,-2779000000.0,8455000000.0
British Airways,IAG.L,2022-12-31,18969000000.0,3501000000.0,431000000.0,2700000000.0,1397000000.0,23066000000.0
British Airways,IAG.L,2023-12-31,22756000000.0,6214000000.0,2655000000.0,3166000000.0,3531000000.0,29453000000.0
British Airways,IAG.L,2024-12-31,24521000000.0,6829000000.0,2732000000.0,3278000000.0,4301000000.0,32100000000.0
Cathay Pacific Airways,0293.HK,2021-12-31,42415000000.0,9215000000.0,-5527000000.0,3622000000.0,-450000000.0,45587000000.0
Cathay Pacific Airways,0293.HK,2022-12-31,43052000000.0,9103000000.0,-6623000000.0,4513000000.0,3471000000.0,51036000000.0
Cathay Pacific Airways,0293.HK,2023-12-31,73785000000.0,27143000000.0,9789000000.0,7701000000.0,12999000000.0,94485000000.0
Cathay Pacific Airways,0293.HK,2024-12-31,84306000000.0,27159000000.0,9888000000.0,6888000000.0,13177000000.0,104371000000.0
China Airlines,2610.TW,2021-12-31,115486946000.0,43483754000.0,9379905000.0,8386422000.0,14968035000.0,138841403000.0
China Airlines,2610.TW,2022-12-31,139352258000.0,35528590000.0,2859503000.0,8785479000.0,2584734000.0,150722471000.0
China Airlines,2610.TW,2023-12-31,160986016000.0,42570720000.0,6818552000.0,13673353000.0,10157421000.0,184816790000.0
China Airlines,2610.TW,2024-12-31,169719034000.0,51502283000.0,14383345000.0,15957957000.0,18202347000.0,203879338000.0
China Southern Airlines,1055.HK,2021-12-31,104229000000.0,13904000000.0,-12103000000.0,5453000000.0,-8038000000.0,101644000000.0
China Southern Airlines,1055.HK,2022-12-31,105862000000.0,-5357000000.0,-32682000000.0,4074000000.0,-22877000000.0,87059000000.0
China Southern Airlines,1055.HK,2023-12-31,147582000000.0,27693000000.0,-4209000000.0,7671000000.0,4676000000.0,159929000000.0
China Southern Airlines,1055.HK,2024-12-31,159571000000.0,32355000000.0,-1696000000.0,9089000000.0,5564000000.0,174224000000.0
Delta Air Lines,DAL,2022-12-31,39985000000.0,5050000000.0,1318000000.0,6936000000.0,3661000000.0,50582000000.0
Delta Air Lines,DAL,2023-12-31,43913000000.0,8783000000.0,4609000000.0,8614000000.0,5521000000.0,58048000000.0
Delta Air Lines,DAL,2024-12-31,46475000000.0,7918000000.0,3457000000.0,9173000000.0,5995000000.0,61643000000.0
Delta Air Lines,DAL,2025-12-31,48052000000.0,9307000000.0,5005000000.0,9490000000.0,5822000000.0,63364000000.0
EVA Air,2618.TW,2021-12-31,84547735000.0,40226931000.0,6608496000.0,8966780000.0,10357844000.0,103872359000.0
EVA Air,2618.TW,2022-12-31,118356717000.0,42761518000.0,7091299000.0,9913899000.0,9797991000.0,138068607000.0
EVA Air,2618.TW,2023-12-31,157079650000.0,61865800000.0,21594425000.0,13710608000.0,29566265000.0,200356523000.0
EVA Air,2618.TW,2024-12-31,166987179000.0,70587070000.0,29007422000.0,15340271000.0,38681578000.0,221009028000.0
Finnair,FIA1S.HE,2022-12-31,2417100000.0,54600000.0,-476200000.0,140100000.0,-200600000.0,2356600000.0
Finnair,FIA1S.HE,2023-12-31,2614600000.0,568400000.0,254300000.0,168700000.0,205200000.0,2988500000.0
Finnair,FIA1S.HE,2024-12-31,2716400000.0,482900000.0,37000000.0,337000000.0,-4600000.0,3048800000.0
Finnair,FIA1S.HE,2025-12-31,2820400000.0,448800000.0,18400000.0,322300000.0,-36500000.0,3106200000.0
Garuda Indonesia,GIAA.JK,2021-12-31,2321963130.0,-3933925355.0,-4159342510.0,274542622.0,-1259827282.0,1336678470.0
Garuda Indonesia,GIAA.JK,2022-12-31,2174714521.0,4378439266.0,3737905012.0,358912944.0,-433547907.0,2100079558.0
Garuda Indonesia,GIAA.JK,2023-12-31,2310237550.0,711464217.0,250046769.0,309644193.0,316749351.0,2936631094.0
Garuda Indonesia,GIAA.JK,2024-12-31,2716377632.0,421793959.0,-72709450.0,390160710.0,309988041.0,3416526383.0
Iberia,IAG.L,2021-12-31,9480000000.0,-823000000.0,-2933000000.0,1754000000.0,-2779000000.0,8455000000.0
Iberia,IAG.L,2022-12-31,18969000000.0,3501000000.0,431000000.0,2700000000.0,1397000000.0,23066000000.0
Iberia,IAG.L,2023-12-31,22756000000.0,6214000000.0,2655000000.0,3166000000.0,3531000000.0,29453000000.0
Iberia,IAG.L,2024-12-31,24521000000.0,6829000000.0,2732000000.0,3278000000.0,4301000000.0,32100000000.0
IndiGo,INDIGO.NS,2022-03-31,270550490000.0,12729310000.0,-61618450000.0,24563070000.0,-35804290000.0,259309270000.0
IndiGo,INDIGO.NS,2023-03-31,467773640000.0,79185060000.0,-3057890000.0,24065430000.0,44237600000.0,536076670000.0
IndiGo,INDIGO.NS,2024-03-31,539730000000.0,186439000000.0,81725000000.0,26952000000.0,107186000000.0,673868000000.0
IndiGo,INDIGO.NS,2025-03-31,643599000000.0,213536000000.0,72584000000.0,21679000000.0,110908000000.0,776186000000.0
Japan Airlines,9201.T,2022-03-31,569965000000.0,-58727000000.0,-177552000000.0,347514000000.0,-234767000000.0,682712000000.0
Japan Airlines,9201.T,2023-03-31,773862000000.0,224835000000.0,34423000000.0,536666000000.0,65060000000.0,1375588000000.0
Japan Airlines,9201.T,2024-03-31,840845000000.0,304472000000.0,95534000000.0,670112000000.0,140932000000.0,1651889000000.0
Japan Airlines,9201.T,2025-03-31,899392000000.0,174241000000.0,107038000000.0,776097000000.0,168606000000.0,1844095000000.0
KLM Royal Dutch Airlines,AF.PA,2021-12-31,12766000000.0,-379000000.0,-3292000000.0,3190000000.0,-1641000000.0,14315000000.0
KLM Royal Dutch Airlines,AF.PA,2022-12-31,21024000000.0,3723000000.0,728000000.0,4335000000.0,1034000000.0,26393000000.0
KLM Royal Dutch Airlines,AF.PA,2023-12-31,23021000000.0,4620000000.0,934000000.0,5368000000.0,1630000000.0,30019000000.0
KLM Royal Dutch Airlines,AF.PA,2024-12-31,24253000000.0,4261000000.0,317000000.0,5641000000.0,1565000000.0,31459000000.0
Korean Air,003490.KS,2021-12-31,6912047063940.0,2929412243770.0,577683539990.0,686808944000.0,1417968632360.0,9016824640300.0
Korean Air,003490.KS,2022-12-31,10245440430530.0,4612821074790.0,1728363138480.0,1020067635000.0,2830586753610.0,14096094819140.0
Korean Air,003490.KS,2023-12-31,12850301876900.0,3830001442210.0,1061165289460.0,1471004038000.0,1790490191240.0,16111796106140.0
Korean Air,003490.KS,2024-12-31,14112550106900.0,4146364405390.0,1317261688930.0,1647968311000.0,2110200077900.0,17870718495800.0
LATAM Airlines,LTM.SN,2021-12-31,4963485000.0,-3336188000.0,-4647491000.0,1002659000.0,-1082129000.0,4884015000.0
LATAM Airlines,LTM.SN,2022-12-31,8103483000.0,2257877000.0,1339210000.0,1398481000.0,-139443000.0,9362521000.0
